,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What is your race?,What country do you work in?,What US state or territory do you work in?,What disorder(s) have you been diagnosed with?,"If possibly, what disorder(s) do you believe you have?","If so, what disorder(s) were you diagnosed with?",comments
0,0,More than 1000,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Physical health,No,1.0,No,1.0,1.0,8.0,6.0,,,,,,,,,1,1.0,"No, none did","No, I only became aware later",None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,8.0,2.0,Possibly,,Yes,1,Yes,Rarely,Sometimes,Yes,3,No,No,0,,,5,"Yes, I observed","Yes, I observed",2,57,Female,Canada,,,Canada,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",,"I informed my employer that I was very sick due to anxiety.  I was told not to let that interfere with my job.  I suffered stigma Andreas isolated and pushed to the side, I do have a supportive group of coworkers to talk to who support mental health. But not everyone u derstands or knows what to say , I have a coworker who lives with bipolar disease.  Theylet me know when they are not having a good day.  They know it is ok with me, I saw people who were on “stress” leave ridiculed, or talked about as thought they were it feeling the truth, or just wanted time off, Since the industry is male dominated, there should be more talk to increase awareness and reduce stigma.  Offering peer support programs and role models would also help make the discussion ok"
1,0,More than 1000,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Physical health,No,0.0,No,0.0,0.0,8.0,3.0,,,,,,,,,0,,,,,,,,,,,,,,,Yes,Yes,Yes,1,Yes,Sometimes,Often,,3,Yes,No,0,,,3,No,No,3,29,male,United States of America,Massachusetts,White,United States of America,Massachusetts,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Post-traumatic Stress Disorder","it's a comfort thing at this point imo, needs to be talked about so it doesn't feel weird to bring up issues"
2,0,6-25,0.0,1.0,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,No,0.0,No,0.0,1.0,3.0,1.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,4.0,1.0,No,,No,0,Yes,Not applicable to me,Not applicable to me,,2,No,No,0,,,9,No,Maybe/Not sure,3,46,Male,United States of America,Florida,White,United States of America,Florida,,,,"We had a coworker have a drastic turn in behavior over the course of two weeks. He was going through a potential divorce and the stress became unbearable. We had two concerns. First, what could we do to ensure he got the help he needed, and second, what did we have to do at the office to mitigate the reputational and other damage caused by him having a dramatic episode in the office. We did those things, he did get help, and took about a month leave of absence. Of course, we've seen issues ranging from work-related stress to difficult family circumstances, but nothing, in our minds, that rose to the level of intervention as was the case with the first employee., If it is mentioned at all, it's during a meeting to go over benefits. The same was true with welness programs at all of my employers. It could be greatly improved by socializing the availability of benefits and resources throughout the year--especially around holidays when lots of folks struggle., I thinka lot of people ""grin and bear it"". I've followed what OSMH has been doing with interest because it seems so obvious and so right. It also occurs to me that the stigma will take a generation to work through. It's going to be a long road to get from starting a conversation at work to acceptance."
3,0,6-25,1.0,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,No,0.0,Maybe,0.0,1.0,8.0,8.0,,,,,,,,,1,1.0,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,At some of my previous employers,0.0,1.0,8.0,8.0,No,,No,0,No,Not applicable to me,Not applicable to me,Maybe,9,No,No,0,,,5,No,Maybe/Not sure,1,34,male,Norway,,,Norway,,,,,
4,0,26-100,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,1.0,Yes,1.0,1.0,7.0,5.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),None did,None did,No,Same level of comfort for each,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,3.0,0.0,Yes,Yes,Yes,1,Yes,Rarely,Sometimes,No,7,Yes,Yes,1,0.0,,5,"Yes, I observed","Yes, I observed",4,29,Ostensibly Male,United States of America,Tennessee,White,United States of America,Tennessee,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder, Personality Disorder (Borderline, Antisocial, Paranoid, etc)","""Hey, I have a lot of anxiety sometimes.""  ""Oh.  I know that feeling.  I had to go to the doctor years ago about it.  I'm better off now, but it sucked for a while."", ""Hey, this is a lot of pressure you're putting on me.""  ""Pressure makes diamonds!""  This is a literal quote."
5,0,100-500,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,0.0,Yes,0.0,1.0,7.0,8.0,,,,,,,,,1,1.0,Some did,I was aware of some,I don't know,Some did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,8.0,8.0,No,,Don't Know,0,No,Not applicable to me,Not applicable to me,No,8,Yes,Yes,0,,,5,No,No,3,55,male,United States of America,South Carolina,White,United States of America,South Carolina,,,,"Co-worker suffers from depression; spoke about how it skews their perception and affects them at times., Be aware that mental health issues exist, but that they do not necessarily define a person as a whole.  It is part of who they are, at least for a time.  Unlike ethnicity, race, skin color, etc, it may change in time., No"
6,0,More than 1000,1.0,1.0,Yes,Yes,No,No,I don't know,I don't know,Physical health,No,0.0,Maybe,0.0,0.0,4.0,4.0,,,,,,,,,0,,,,,,,,,,,,,,,Yes,Yes,Don't Know,1,No,Often,Often,,6,Maybe,No,0,,,5,No,No,2,29,Agender,Finland,,,Finland,,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",
7,0,26-100,1.0,1.0,Not eligible for coverage / NA,,No,No,I don't know,I don't know,Physical health,No,0.0,Maybe,0.0,0.0,10.0,8.0,,,,,,,,,1,1.0,I don't know,N/A (none offered),I don't know,None did,I don't know,Physical health,I don't know,1.0,"Yes, at all of my previous employers",0.0,0.0,10.0,10.0,Yes,Yes,Yes,1,I don't know,Sometimes,Often,No,8,Maybe,No,0,,,8,No,"Yes, I experienced",4,35,male,Poland,,,Poland,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Personality Disorder (Borderline, Antisocial, Paranoid, etc)",It went fine. The person I talked to (one of the directors) was very supportive.
8,0,More than 1000,1.0,1.0,I don't know,No,No,No,No,I don't know,Physical health,No,1.0,No,0.0,0.0,10.0,0.0,,,,,,,,,1,1.0,Some did,"No, I only became aware later",None did,None did,No,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,7.0,0.0,Possibly,,Yes,0,Yes,Not applicable to me,Often,Yes,2,Maybe,No,0,,,0,Maybe/Not sure,No,1,33,"male, born with xy chromosoms",Russia,,,Russia,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Personality Disorder (Borderline, Antisocial, Paranoid, etc), Obsessive-Compulsive Disorder, Post-traumatic Stress Disorder",,"I told him how having people around in the open space often makes crying the only thing I am capable of when I come home. He answered that if I were working in the central office it would be much worse, I should happy to have a big salary and not ask any further to have a calm working environment., They should show that normal people (engineers, accountants, secretaries, not executive) have mental health problem, are receiving non-invasive help and are functioning or getting better. But I would not accept to be the one to be shown. Isn't it ironic?, Never jail people in psy-hospitals against their will. I would have killed myself have I not found about Rosenhan's experiment. But now I am not certain I will ever get ""help""."
9,0,More than 1000,0.0,1.0,Yes,No,No,Yes,I don't know,Somewhat difficult,Physical health,No,0.0,No,0.0,1.0,3.0,1.0,,,,,,,,,1,1.0,Some did,N/A (was not aware),None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,1.0,1.0,Don't Know,,Don't Know,0,No,Not applicable to me,Not applicable to me,Yes,5,Maybe,No,0,,,1,"Yes, I observed",No,1,37,Male,United States of America,Iowa,White,United States of America,Iowa,,,,"Overview, Criticism, Talk about it"
