,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you ever been diagnosed with a mental health disorder?,What disorder(s) have you been diagnosed with?,"If possibly, what disorder(s) do you believe you have?","If so, what disorder(s) were you diagnosed with?",Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What is your race?,What country do you work in?,What US state or territory do you work in?,comments
0,False,26-100,True,True,I don't know,No,Yes,Yes,I don't know,Very easy,Physical health,Yes,False,Yes,True,True,5.0,5.0,,,,,,,,,True,False,I don't know,N/A (was not aware),Some did,"Yes, they all did",I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,True,8.0,5.0,Don't Know,,,,,No,False,No,Not applicable to me,Not applicable to me,No,8,Yes,Maybe,False,,,8,No,Maybe/Not sure,4,25,Male,United States of America,Nebraska,White,United States of America,Nebraska,"Mainly was a general 'maybe I should go see somebody'. They didn't really have a reaction, it was fine to bring up and discuss., They talked about how they are active in the mental health world and how they suffer from mental health issues."
1,False,26-100,True,True,Yes,No,No,Yes,Yes,I don't know,Physical health,Maybe,False,Maybe,True,True,5.0,7.0,,,,,,,,,True,False,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,False,At some of my previous employers,True,True,8.0,5.0,Possibly,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Possibly,False,Yes,Sometimes,Often,No,7,No,No,False,,,7,"Yes, I observed","Yes, I experienced",1,51,male,United States of America,Nebraska,White,United States of America,Nebraska,"I prefer only to say that a recent coworker has been very supportive and understanding when I've shared info about my mental health. That hasn't always been the case with previous, different coworkers., I prefer only to say that a recent coworker has been very open and forthcoming when they've shared info about their mental health., I prefer only to say that those previous coworkers with whom I shared some of my mental health history were very supportive and understanding. , As I recall, a direct supervisor was identified as having an anxiety disorder after missing several days of work through very informal channels."
2,False,26-100,True,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,No,False,Maybe,True,True,5.0,4.0,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,10.0,2.0,No,,,,,No,False,I don't know,Not applicable to me,Not applicable to me,No,4,Maybe,No,False,,,4,Maybe/Not sure,"Yes, I observed",2,27,Male,United States of America,Illinois,White,United States of America,Illinois,"It doesn't truly count as a coworker, as he is one of my closest friends as well, but we discuss anxiety and depression somewhat often and are very open about it., It doesn't truly count as a coworker, as he is one of my closest friends as well, but we discuss anxiety and depression somewhat often and are very open about it., I think opening up more conversation around these issues and increasing awareness around mental health would help ease conversations about it, Thank you"
3,False,100-500,True,True,I don't know,No,Yes,Yes,Yes,Very easy,Physical health,Yes,False,Maybe,False,True,1.0,3.0,,,,,,,,,True,True,I don't know,N/A (was not aware),Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,False,At some of my previous employers,False,True,3.0,1.0,No,,,,,No,False,Yes,Not applicable to me,Not applicable to me,No,3,No,No,False,,,8,No,"Yes, I observed",3,37,male,United States of America,Nebraska,White,United States of America,Nebraska,
4,False,26-100,True,True,I don't know,No,I don't know,I don't know,I don't know,I don't know,Physical health,No,False,No,False,False,4.0,4.0,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,4.0,4.0,No,,,,,No,False,No,Not applicable to me,Not applicable to me,,1,No,No,False,,,5,No,No,3,46,m,United States of America,Nebraska,White,United States of America,Nebraska,
5,False,100-500,True,False,Yes,No,No,No,I don't know,Somewhat difficult,Physical health,No,False,Yes,True,True,6.0,5.0,,,,,,,,,True,True,"Yes, they all did","No, I only became aware later",Some did,Some did,I don't know,Physical health,Some of my previous supervisors,True,At some of my previous employers,True,True,7.0,6.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,Yes,Sometimes,Often,No,5,No,No,False,,,5,No,Maybe/Not sure,3,36,female,United States of America,Nebraska,White,United States of America,Nebraska,"discussed my issues with anxiety and depression, connecting over our shared struggles with anxiety, anxiety issues with a past boss. she helped me work through some holistically. , anxiety issues, same"
6,False,26-100,True,True,Yes,Yes,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,False,Maybe,True,True,5.0,5.0,,,,,,,,,True,False,I don't know,"No, I only became aware later",None did,None did,I don't know,Physical health,Some of my previous supervisors,False,"No, at none of my previous employers",False,False,10.0,3.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,Yes,Rarely,Sometimes,No,7,Yes,No,False,,,6,No,No,3,39,Female,United States of America,Nebraska,White,United States of America,Nebraska,"Explained I have generalized anxiety and clinical depression. Was a reaching out moment to encourage others. Well received. , Suffer from Depression, let them know they aren’t alone and people care. , Emphasize more on whole person health as an important goal for all. More posters or ads. "
7,True,,,,,,,,,,,,,,,,,,True,I know some,Not applicable to me,,Not applicable to me,Not applicable to me,Not applicable to me,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,False,At some of my previous employers,False,True,3.0,3.0,Possibly,,,"Substance Use Disorder, Mood Disorder (Depression, Bipolar Disorder, etc), Anxiety Disorder (Generalized, Social, Phobia, etc)",,No,True,Yes,Rarely,Sometimes,No,5,Maybe,No,False,,,5,Maybe/Not sure,No,3,35,Male,United States of America,Wisconsin,White,United States of America,Wisconsin,"I was told that my professional critique caused a burden to their condition.  While I respect this, and offered to do it a different way, they said I could provide no critique as it would affect them negatively.  That I couldn't abide with., Too many people use OCD and ADHD as jokes to describe their tendency or their laziness and lack of desire to pay attention. I know there are some people who have this, but the amount of people who jokingly profess they have it (without diagnosis) make it harder for people to admit they have these things in real life.  In addition, it's less of a direct tech issue than a masculine issue.  Transitive property: Tech is masculine, it's not masculine to admit you have issues, therefore, you don't admit it in tech."
8,False,26-100,True,True,Yes,No,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,True,True,8.0,7.0,,,,,,,,,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,2.0,1.0,No,,,,,Yes,False,No,Never,Not applicable to me,No,5,Maybe,No,False,,,5,No,No,2,49,,United Kingdom,,,United Kingdom,,"Had a text conversation on slack and they were very supportive, They covered how they were currently feeling, the pressure they were under, and how it was affecting them, Provide support and educate from the top down ensuring line managers especially are supportive and educated"
9,False,6-25,True,True,I don't know,,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,False,Maybe,True,False,8.0,8.0,,,,,,,,,True,True,"No, none did",N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,False,False,5.0,6.0,Possibly,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Anxiety Disorder (Generalized, Social, Phobia, etc)",,Don't Know,True,I don't know,Sometimes,Sometimes,Maybe,2,Maybe,Maybe,False,,,8,"Yes, I observed",Maybe/Not sure,3,45,Male,United Kingdom,,,United Kingdom,,Stressed about a project that that as affecting me out of work
