,ColumnNumber,ColumnName
0,0,Timestamp
1,1,Are you self-employed?
2,2,How many employees does your company or organization have?
3,3,Is your employer primarily a tech company/organization?
4,4,Is your primary role within your company related to tech/IT?
5,5,Does your employer provide mental health benefits as part of healthcare coverage?
6,6,Do you know the options for mental health care available under your employer-provided health coverage?
7,7,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?"
8,8,Does your employer offer resources to learn more about mental health disorders and options for seeking help?
9,9,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?
10,10,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?"
11,11,Would you feel more comfortable talking to your coworkers about your physical health or your mental health?
12,12,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?
13,13,Have you ever discussed your mental health with your employer?
14,14,Would you feel comfortable discussing a mental health issue with your coworkers?
15,15,Have you ever discussed your mental health with coworkers?
16,16,Have you ever had a coworker discuss their or another coworker's mental health with you?
17,17,"Overall, how much importance does your employer place on physical health?"
18,18,"Overall, how much importance does your employer place on mental health?"
19,19,Do you have previous employers?
20,20,Was your employer primarily a tech company/organization?
21,21,Have your previous employers provided mental health benefits?
22,22,Were you aware of the options for mental health care provided by your previous employers?
23,23,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?
24,24,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?
25,25,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?
26,26,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?
27,27,Would you have been willing to discuss your mental health with your direct supervisor(s)?
28,28,Did you ever discuss your mental health with your previous employer?
29,29,Would you have been willing to discuss your mental health with your coworkers at previous employers?
30,30,Did you ever discuss your mental health with a previous coworker(s)?
31,31,Did you ever have a previous coworker discuss their or another coworker's mental health with you?
32,32,"Overall, how much importance did your previous employer place on physical health?"
33,33,"Overall, how much importance did your previous employer place on mental health?"
34,34,Do you currently have a mental health disorder?
35,35,Have you had a mental health disorder in the past?
36,36,Have you ever sought treatment for a mental health disorder from a mental health professional?
37,37,Do you have a family history of mental illness?
38,38,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?"
39,39,"If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?"
40,40,Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?
41,41,How willing would you be to share with friends and family that you have a mental illness?
42,42,Would you be willing to bring up a physical health issue with a potential employer in an interview?
43,43,Would you bring up your mental health with a potential employer in an interview?
44,44,Are you openly identified at work as a person with a mental health issue?
45,45,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?"
46,46,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?
47,47,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?
48,48,"Overall, how well do you think the tech industry supports employees with mental health issues?"
49,49,What is your age?
50,50,What is your gender?
51,51,What country do you live in?
52,52,What is your race?
53,53,What country do you work in?
